rung,layer,N,one_minus_cos_raw,one_minus_cos_centered,PR,Vendi
theft,6,900,0.0157,0.9966,10.55,1.14
theft,12,900,0.0269,0.9956,11.25,1.24
theft,18,900,0.0247,0.9949,11.20,1.22
theft,24,900,0.0374,0.9944,6.72,1.33
theft,30,900,0.0869,0.9817,9.93,1.85
illegal_activities,6,900,0.0148,0.9951,11.77,1.14
illegal_activities,12,900,0.0260,0.9950,12.01,1.24
illegal_activities,18,900,0.0245,0.9938,10.86,1.22
illegal_activities,24,900,0.0364,0.9973,9.94,1.34
illegal_activities,30,900,0.0815,0.9891,14.23,1.83
malicious_use,6,900,0.0156,0.9957,12.87,1.15
malicious_use,12,900,0.0288,0.9950,12.56,1.27
malicious_use,18,900,0.0269,0.9936,11.68,1.25
malicious_use,24,900,0.0430,0.9964,7.50,1.39
malicious_use,30,900,0.1029,0.9846,11.68,2.08
all,6,900,0.0172,0.9970,14.24,1.16
all,12,900,0.0308,0.9965,12.74,1.29
all,18,900,0.0303,0.9958,12.40,1.28
all,24,900,0.0546,0.9993,9.65,1.52
all,30,900,0.1405,0.9927,15.95,2.68
