rung,seed,dim,bypass_asr,retain_mean,induce_marginal,per_basis_bypass_max,per_basis_induce_min,loo_bypass_min,necessity_min,sample_asr_p05,sample_asr_mean,sample_asr_median,sample_asr_p25,sample_asr_p75,n_samples
theft,seed_21,1,0.9922,-10.7178,2.5901,-5.4678,2.5901,2.6295,8.0973,0.9922,0.9922,0.9922,0.9922,0.9922,64
theft,seed_21,2,1.0,-10.6848,-0.2155,-2.8007,-0.2155,-5.7272,1.9591,0.8316,0.9768,1.0,0.9824,1.0,64
theft,seed_21,3,1.0,-10.4604,-0.9433,-1.6891,-0.9433,-6.8918,1.2892,0.9543,0.9885,1.0,0.9844,1.0,64
theft,seed_21,4,1.0,-10.8119,0.2522,0.6191,-1.688,-8.53,-0.3212,0.9219,0.9785,0.9922,0.9766,1.0,64
theft,seed_21,5,1.0,-11.3717,-2.1218,0.5236,-2.1218,-8.5572,-0.0363,0.2277,0.6083,0.5156,0.2812,0.9863,64
theft,seed_3,1,0.8516,-10.5276,0.5697,-3.2002,0.5697,2.6295,5.8298,0.8516,0.8516,0.8516,0.8516,0.8516,256
theft,seed_3,2,1.0,-10.317,1.5063,-3.8446,0.5674,-3.9901,3.098,0.9297,0.9509,0.9531,0.9453,0.9609,256
theft,seed_3,3,1.0,-11.0234,1.217,0.8999,-0.7474,-8.2702,0.0842,0.541,0.9164,0.9609,0.9297,1.0,256
theft,seed_3,4,1.0,-10.9604,-1.1159,-0.6126,-1.1159,-8.5506,0.2686,0.9746,0.9946,1.0,1.0,1.0,256
theft,seed_3,5,1.0,-11.9459,-3.6632,2.0505,-3.6632,-9.2122,0.3575,0.8828,0.9747,1.0,1.0,1.0,256
theft,seed_7,1,0.9453,-10.2131,1.5173,-3.8597,1.5173,2.6295,6.4892,0.9453,0.9453,0.9453,0.9453,0.9453,256
theft,seed_7,2,1.0,-10.3943,0.2323,-1.6059,0.2323,-3.5266,2.7665,0.8223,0.9703,0.9922,0.9766,1.0,256
theft,seed_7,3,1.0,-10.2701,-0.6261,1.8192,-1.8815,-6.6717,0.5891,0.3164,0.8709,0.9844,0.8516,1.0,256
theft,seed_7,4,1.0,-9.8517,-0.0046,1.3457,-0.3969,-6.5311,0.3913,0.7188,0.9619,1.0,0.9766,1.0,256
theft,seed_7,5,1.0,-9.3818,-6.7141,2.3108,-6.7141,-7.3451,-0.0678,0.2246,0.6992,0.8047,0.3887,0.9922,256
illegal_activities,seed_21,1,0.9766,-9.8271,2.9087,-5.3389,2.9087,2.7222,8.0611,0.9766,0.9766,0.9766,0.9766,0.9766,64
illegal_activities,seed_21,2,1.0,-10.7011,0.4686,-2.3022,0.4686,-5.3205,2.0113,0.8137,0.9678,0.9922,0.9824,1.0,64
illegal_activities,seed_21,3,0.9922,-10.3631,-1.6414,-0.1062,-1.6414,-6.1139,1.4498,0.8449,0.9438,0.9688,0.9297,0.9766,64
illegal_activities,seed_21,4,0.9922,-10.212,0.1931,-0.7537,-1.9011,-7.517,0.2541,0.7113,0.9069,0.9336,0.8984,0.9766,64
illegal_activities,seed_21,5,1.0,-11.0309,-3.3873,1.6683,-3.3873,-8.2447,-0.1891,0.1875,0.4943,0.3711,0.2227,0.8672,64
illegal_activities,seed_3,1,0.9531,-10.5905,2.0985,-3.6517,2.0985,2.7222,6.3739,0.9531,0.9531,0.9531,0.9531,0.9531,256
illegal_activities,seed_3,2,1.0,-10.1719,0.8754,-3.553,0.8754,-3.6402,3.3098,0.9375,0.9788,0.9844,0.9766,0.9922,256
illegal_activities,seed_3,3,1.0,-10.5718,0.3773,-0.4581,-0.6841,-7.121,0.7566,0.9434,0.9775,0.9844,0.9766,0.9922,256
illegal_activities,seed_3,4,1.0,-9.8466,1.1817,-2.0525,-0.8148,-8.0675,0.2971,0.5703,0.9128,0.9688,0.8984,0.9922,256
illegal_activities,seed_3,5,1.0,-10.3474,-2.8185,2.0487,-2.8185,-8.2484,0.0376,0.2266,0.7125,0.8047,0.4453,0.9844,256
illegal_activities,seed_7,1,0.9766,-10.7448,2.8195,-4.9976,2.8195,2.7222,7.7198,0.9766,0.9766,0.9766,0.9766,0.9766,256
illegal_activities,seed_7,2,0.9922,-10.7797,0.4782,-1.9344,0.4782,-3.4815,3.2178,0.8516,0.9686,0.9922,0.9766,0.9922,256
illegal_activities,seed_7,3,0.9922,-10.7273,-0.9883,-1.0197,-0.9883,-6.6507,1.295,0.9453,0.9781,0.9844,0.9688,0.9922,256
illegal_activities,seed_7,4,0.9922,-10.6473,0.5566,-1.1989,-2.1701,-7.6279,0.4005,0.8398,0.958,0.9844,0.9453,0.9922,256
illegal_activities,seed_7,5,0.9922,-10.68,-1.5467,2.1279,-2.2827,-8.3726,0.0692,0.2031,0.6941,0.793,0.3965,0.9844,256
malicious_use,seed_21,1,0.9297,-10.6756,4.3069,-6.1775,4.3069,2.2791,8.4566,0.9297,0.9297,0.9297,0.9297,0.9297,64
malicious_use,seed_21,2,0.9609,-10.4005,5.0144,-2.0634,3.926,-6.2695,1.1383,0.7289,0.9159,0.9453,0.9141,0.9609,64
malicious_use,seed_21,3,1.0,-10.7339,2.0641,2.057,2.0641,-7.8777,0.0333,0.3453,0.8381,0.9453,0.8164,0.9707,64
malicious_use,seed_21,4,0.9922,-9.9815,4.4108,1.2875,3.4718,-6.6743,0.2205,0.4758,0.8258,0.8867,0.7852,0.9531,64
malicious_use,seed_21,5,1.0,-10.6926,4.6773,0.0082,3.3532,-8.7109,0.0984,0.557,0.8273,0.875,0.7188,0.9531,64
malicious_use,seed_3,1,0.8672,-10.3521,4.2504,-4.9041,4.2504,2.2791,7.1832,0.8672,0.8672,0.8672,0.8672,0.8672,256
malicious_use,seed_3,2,0.9688,-10.3225,4.4727,-3.3592,4.4727,-5.6982,1.7581,0.8184,0.9285,0.9453,0.9219,0.9531,256
malicious_use,seed_3,3,0.9766,-10.6091,4.1412,0.2459,4.0001,-6.068,0.4847,0.625,0.8736,0.9297,0.8281,0.9531,256
malicious_use,seed_3,4,0.9922,-10.5416,5.3824,0.4165,4.2097,-7.3433,0.3561,0.6562,0.8652,0.8945,0.7949,0.9531,256
malicious_use,seed_3,5,0.9922,-11.3016,2.4042,1.9011,2.4042,-7.5679,0.0889,0.2656,0.5802,0.6094,0.3984,0.7363,256
malicious_use,seed_7,1,0.9297,-10.5312,4.5468,-6.2474,4.5468,2.2791,8.5265,0.9297,0.9297,0.9297,0.9297,0.9297,256
malicious_use,seed_7,2,0.9766,-10.2003,5.2121,-2.0352,4.0309,-5.7555,1.236,0.7637,0.9262,0.9453,0.9219,0.9688,256
malicious_use,seed_7,3,1.0,-10.2534,4.1823,-1.5343,3.1984,-7.0029,0.6298,0.8418,0.9446,0.9531,0.9297,0.9766,256
malicious_use,seed_7,4,0.9844,-10.7247,1.2133,2.1363,1.2133,-7.5955,0.0823,0.2891,0.7481,0.8281,0.6562,0.8984,256
malicious_use,seed_7,5,1.0,-11.1192,3.3077,1.4661,2.1706,-7.7998,0.2939,0.4395,0.8263,0.8828,0.7422,0.9453,256
